0|LKK1|123|米小薯老闆|02-0000001|B0000001|B0000001|data/images/17.jpg
0|LKK2|321|米大薯老闆|02-0000002|B0000002|B0000002|data/images/18.jpg
1|LKK1-1|321|米小薯1老師|02-0000003|T0000001|B0000001|data/images/19.jpg
1|LKK1-2|654|米小薯2老師|02-0000004|T0000002|B0000001|data/images/20.jpg
1|LKK2-3|987|米小薯3老師|02-0000005|T0000003|B0000002|data/images/21.jpg
1|LKK2-4|123|米小薯4老師|02-0000006|T0000004|B0000002|data/images/22.jpg
2|02-0000007|123|米小薯1-1-A家長|02-0000007|P0000001|B0000001|data/images/1.jpeg
2|02-0000008|321|米小薯1-1-B家長|02-0000008|P0000002|B0000001|data/images/2.jpeg
2|02-0000009|123|米小薯1-2-A家長|02-0000009|P0000003|B0000001|data/images/3.jpeg
2|02-0000010|321|米小薯1-2-B家長|02-0000010|P0000004|B0000001|data/images/4.jpeg
2|02-0000011|123|米小薯2-1-A家長|02-0000011|P0000005|B0000001|data/images/5.jpeg
2|02-0000012|321|米小薯2-1-B家長|02-0000012|P0000006|B0000001|data/images/6.jpeg
2|02-0000013|123|米小薯2-2-A家長|02-0000013|P0000007|B0000001|data/images/7.jpeg
2|02-0000014|321|米小薯2-2-B家長|02-0000014|P0000008|B0000001|data/images/8.jpeg
2|02-0000015|123|米大薯3-1-A家長|02-0000015|P0000009|B0000002|data/images/9.jpeg
2|02-0000016|321|米大薯3-1-B家長|02-0000016|P0000010|B0000002|data/images/10.jpeg
2|02-0000017|123|米大薯3-2-A家長|02-0000017|P0000011|B0000002|data/images/11.jpeg
2|02-0000018|321|米大薯3-2-B家長|02-0000018|P0000012|B0000002|data/images/12.jpeg
2|02-0000019|123|米大薯4-1-A家長|02-0000019|P0000013|B0000002|data/images/13.jpeg
2|02-0000020|321|米大薯4-1-B家長|02-0000020|P0000014|B0000002|data/images/14.jpeg
2|02-0000021|123|米大薯4-2-A家長|02-0000021|P0000015|B0000002|data/images/15.jpeg
2|02-0000022|321|米大薯4-2-B家長|02-0000022|P0000016|B0000002|data/images/16.jpg
